"Project Name","AUDIT  - https://fozzys.net/",
"Total Groups","15",

Group,Title,URL,DESC,H1,
"Main Menu – Fozzy's Bar &amp; Restaurant, Loves Park","Main Menu – Fozzy's Bar &amp; Restaurant, Loves Park","/main-menu/","We're always about providing a great value. Check out our daily specials to see which fits your taste buds! View our daily special offers. Read more","Main Menu – Fozzy's Bar &amp; Restaurant, Loves Park",
Keyword,Volume,CPC,inTITLE,inURL,"69",
"fozzies",="40500",="1.12",="",="",
"fozzies sandwiches",="40500",="1.12",="",="",
"fuzzy's sports grill",="3600",="0.98",="",="",
"weezy's menu",="2400",="3.54",="",="",
"foxis menu",="1900",="0.41",="",="",
"loves park restaurants",="1900",="0.34",="",="",
"restaurants in loves park",="1900",="0.34",="",="",
"fozzy's bar and grill",="1600",="1.68",="",="",
"foxys menu",="720",="0.01",="",="",
"fozzy spring hill",="720",="0.50",="",="",
"fuzzy's pub and grill",="720",="0.00",="",="",
"boozies bar and grill davenport",="480",="4.26",="",="",
"fozzy's menu",="390",="0.46",="",="",
"fish fry in rockford il",="320",="0.71",="",="",
"fozzie menu",="320",="0.39",="",="",
"fozzie's menu",="320",="0.39",="",="",
"fuzzy bar and grill",="260",="0.47",="",="",
"fuzzy's bar and grill",="260",="0.47",="",="",
"fuzzy's sports grill menu",="260",="0.00",="",="",
"foxy bar and grill",="210",="0.02",="",="",
"fitzy menu",="170",="0.05",="",="",
"fitzy's menu",="170",="0.05",="",="",
"foxy's chill and grill menu",="170",="0.00",="",="",
"fozzie's bbq",="170",="0.00",="",="",
"fozzy's bar and grill carol stream menu",="170",="0.00",="",="",
"machesney park food",="170",="1.06",="",="",
"foxiis restaurant and bar murphy menu",="140",="0.00",="",="",
"gozzys",="140",="3.27",="",="",
"fizzies menu",="110",="0.00",="",="",
"nunzio's loves park",="110",="0.00",="",="",
"nunzio's rockford il",="110",="0.00",="",="",
"food loves park",="90",="0.00",="",="",
"fuzzy's sports pub &amp; grill menu",="90",="0.00",="",="",
"suzy's bar &amp; grill menu",="90",="0.00",="",="",
"suzy's bar and grill",="90",="0.00",="",="",
"boozies menu",="70",="0.00",="",="",
"foxiis restaurant and grill menu",="70",="0.00",="",="",
"bars in machesney park",="50",="0.00",="",="",
"fazzi's restaurant menu",="50",="0.00",="",="",
"fozzies sandwich",="50",="0.00",="",="",
"fuzzy's sports bar &amp; grill menu",="50",="0.00",="",="",
"restaurants on riverside loves park il",="50",="0.65",="",="",
"shazzys bar and grill",="50",="0.00",="",="",
"woodys caseyville il",="50",="0.00",="",="",
"fizzy's menu",="40",="0.00",="",="",
"foxiis menu",="40",="0.00",="",="",
"foxy john's menu",="40",="0.21",="",="",
"fozzie restaurant",="40",="0.00",="",="",
"fozzie's restaurant",="40",="0.00",="",="",
"fuzzy's bar menu",="40",="0.00",="",="",
"fuzzy's bar waukesha",="40",="1.72",="",="",
"fuzzy's drink menu with prices",="40",="0.00",="",="",
"nunzio's loves park il",="40",="0.00",="",="",
"the fozzy",="40",="0.00",="",="",
"fawzi's sports bar menu",="30",="0.00",="",="",
"fozzie's hours",="30",="0.00",="",="",
"fozzies hours",="30",="0.00",="",="",
"fuzzy's happy hour menu with prices",="30",="0.00",="",="",
"fuzzy's sports grill photos",="30",="0.00",="",="",
"hizzy bar and restaurant menu",="30",="0.00",="",="",
"hot dogs rockford il",="30",="0.00",="",="",
"hozy's menu",="30",="0.00",="",="",
"loves park illinois to chicago",="30",="0.00",="",="",
"new restaurants loves park",="30",="0.00",="",="",
"social restaurant rockford",="30",="0.00",="",="",
"social restaurant rockford il",="30",="0.00",="",="",
"fawzi's bar and grill menu",="20",="0.00",="",="",
"love park restaurant",="20",="0.00",="",="",
"restaurants open in rockford",="20",="0.01",="",="",

Group,Title,URL,DESC,H1,
"1. HOMEPAGE Fozzy's Bar","Fozzy's Bar","/","Private Events, Fozzy's Style. We bring the same scratch-made food, energy, and polish to your private room that built our reputation out front. Make ... Read more","Fozzy's Bar",
Keyword,Volume,CPC,inTITLE,inURL,"135",
"fozzy",="12100",="0.75",="",="",
"rockford restaurant",="6600",="0.51",="",="",
"cedarvale lanes and fitz's bar &amp; grill",="4400",="0.68",="",="",
"ozzy's grill &amp; cafe",="3600",="0.25",="",="",
"foxiis restaurant and bar",="1900",="0.70",="",="",
"loves park illinois restaurants",="1900",="0.34",="",="",
"restaurant loves park il",="1900",="0.34",="",="",
"restaurants in loves park il",="1900",="0.34",="",="",
"restaurants loves park",="1900",="0.34",="",="",
"restaurants loves park il",="1900",="0.34",="",="",
"restaurants loves park illinois",="1900",="0.34",="",="",
"bar rockford il",="1600",="0.53",="",="",
"fozzy's bar &amp; grill loves park il",="1600",="0.76",="",="",
