"Project Name","AUDIT  - https://fozzysfranklin.net/",
"Total Groups","16",

Group,Title,URL,DESC,H1,
"1. HOMEPAGE Fozzy's Bar &amp; Grill Franklin, TN","Fozzy's Bar &amp; Grill Franklin, TN","/","The Night Out That Turns Into a Tradition ... Perfect for a night out with friends who want food that hits, drinks that flow, and service that feels like family. Read more","Fozzy's Bar &amp; Grill Franklin, TN",
Keyword,Volume,CPC,inTITLE,inURL,"341",
"franklin tn restaurants",="33100",="0.99",="",="",
"franklin.tn restaurants",="33100",="0.99",="",="",
"restaurants franklin tn",="33100",="0.99",="",="",
"restaurants in franklin tennessee",="33100",="0.99",="",="",
"cool springs mall restaurants",="9900",="0.72",="",="",
"cool springs restaurants tn",="9900",="0.72",="",="",
"cool springs tennessee restaurants",="9900",="0.72",="",="",
"franklin tn restaurants cool springs",="9900",="0.72",="",="",
"restaurant in cool springs tn",="9900",="0.72",="",="",
"restaurants in cool springs franklin",="9900",="0.72",="",="",
"restaurants in cool springs tn",="9900",="0.72",="",="",
"restaurants in franklin tn cool springs",="9900",="0.72",="",="",
"sperry restaurant franklin tn",="5400",="1.61",="",="",
"fozzy's bar &amp; grill franklin",="2900",="0.61",="",="",
"55 south franklin",="2400",="0.66",="",="",
"55 south franklin tn",="2400",="0.66",="",="",
"cool springs tn restaurants",="2400",="0.61",="",="",
"bar franklin",="1900",="0.70",="",="",
"bar franklin tn",="1900",="0.70",="",="",
"bar in franklin",="1900",="0.70",="",="",
"bar in franklin tn",="1900",="0.70",="",="",
"bars franklin",="1900",="0.70",="",="",
"bars franklin tn",="1900",="0.70",="",="",
"bars in franklin",="1900",="0.70",="",="",
"bars in franklin tn",="1900",="0.70",="",="",
"franklin tennessee bars",="1900",="0.70",="",="",
"franklin tn bar",="1900",="0.70",="",="",
"franklin tn bars",="1900",="0.70",="",="",
"kozy lounge",="1900",="1.68",="",="",
"lunch franklin tn",="1900",="0.55",="",="",
"saffire franklin",="1900",="1.21",="",="",
"franklin bars",="1600",="0.53",="",="",
"ozzie grill",="1600",="3.45",="",="",
"ozzie's grill",="1600",="3.45",="",="",
"fast food in franklin",="1300",="0.42",="",="",
"fast food in franklin tn",="1300",="0.42",="",="",
"food cool springs",="1300",="0.65",="",="",
"food in cool springs",="1300",="0.65",="",="",
"foxy's drive-in",="1300",="0.00",="",="",
"restaurants near cool springs",="1300",="0.88",="",="",
"restaurants near cool springs mall",="1300",="0.88",="",="",
"restaurants near cool springs mall franklin tn",="1300",="0.88",="",="",
"restaurants near coolsprings galleria",="1300",="0.88",="",="",
"restaurants near franklin tn",="1300",="0.77",="",="",
"new franklin tn restaurants",="1000",="0.65",="",="",
"new restaurants franklin tn",="1000",="0.65",="",="",
"new restaurants in franklin",="1000",="0.65",="",="",
"new restaurants in franklin tn",="1000",="0.65",="",="",
"restaurants mckenzie tn",="1000",="0.13",="",="",
"tin roof 2 franklin",="1000",="0.00",="",="",
"cozy's pub",="880",="0.04",="",="",
"fozzy's franklin",="880",="0.29",="",="",
"best burger franklin tn",="720",="0.44",="",="",
"best burger in franklin tn",="720",="0.44",="",="",
"best burgers in franklin tn",="720",="0.44",="",="",
"chuy's franklin tn",="720",="0.22",="",="",
"foxy's menu",="720",="0.01",="",="",
"foxys menu",="720",="0.01",="",="",
"franklin tn sports bars",="720",="0.53",="",="",
"fuzzy's sports pub &amp; grill",="720",="0.00",="",="",
"places to eat cool springs",="720",="0.72",="",="",
"places to eat in cool springs",="720",="0.72",="",="",
"sports bar franklin",="720",="0.53",="",="",
"sports bar franklin tn",="720",="0.53",="",="",
"sports bar in franklin tn",="720",="0.62",="",="",
"sports bars franklin",="720",="0.53",="",="",
"sports bars franklin tn",="720",="0.53",="",="",
"sports bars in franklin",="720",="0.53",="",="",
"sports bars in franklin tn",="720",="0.53",="",="",
"swiss street pub &amp; grille",="720",="0.00",="",="",
"wine bar franklin tn",="720",="0.64",="",="",
"amruth sports bar",="590",="11.13",="",="",
"best restaurants in cool springs",="590",="0.79",="",="",
"best restaurants in cool springs tn",="590",="0.79",="",="",
"bonefish grill franklin tn",="590",="0.70",="",="",
"buffalo wild wings franklin tn",="590",="0.42",="",="",
"burgers franklin tn",="590",="0.47",="",="",
"burgers in franklin tn",="590",="0.47",="",="",
"fitzy's pub",="590",="0.07",="",="",
"food cool springs tn",="590",="0.55",="",="",
"food in cool springs tn",="590",="0.55",="",="",
"foxy's bar and grill",="590",="0.16",="",="",
"ground franklin tn",="590",="0.00",="",="",
"ground restaurant franklin tn",="590",="0.00",="",="",
"cool springs galleria restaurants",="480",="0.32",="",="",
"food near me franklin tn",="480",="0.71",="",="",
"foozies grill",="480",="0.00",="",="",
"franklin happy hour",="480",="0.44",="",="",
"franklin tn happy hour",="480",="0.44",="",="",
"happy hour franklin",="480",="0.44",="",="",
"happy hour franklin tn",="480",="0.44",="",="",
"happy hour in franklin tn",="480",="0.44",="",="",
"happy hours franklin tn",="480",="0.44",="",="",
"happy hours in franklin tn",="480",="0.44",="",="",
"juice bar franklin tn",="480",="1.25",="",="",
"places to eat cool springs tn",="480",="0.48",="",="",
"places to eat in cool springs tn",="480",="0.48",="",="",
"restaurants at cool springs galleria",="480",="0.32",="",="",
"restaurants at cool springs mall",="480",="0.32",="",="",
"restaurants cool springs mall",="480",="0.32",="",="",
"restaurants in cool springs galleria",="480",="0.32",="",="",
"best casual restaurants in franklin tn",="390",="0.46",="",="",
"boozy bar and grill",="390",="0.00",="",="",
"buffet franklin tn",="390",="0.05",="",="",
"buffets in franklin tn",="390",="0.05",="",="",
"cool springs lunch",="390",="0.35",="",="",
"franklin tn buffet",="390",="0.05",="",="",
"garcia's cool springs",="390",="0.00",="",="",
"grays on main franklin tn",="390",="0.00",="",="",
"grill bar franklin",="390",="0.00",="",="",
"honeysuckle franklin tn",="390",="0.00",="",="",
"lunch in cool springs",="390",="1.27",="",="",
"pub franklin",="390",="0.49",="",="",
"pub in franklin",="390",="0.49",="",="",
"breakfast cool springs",="320",="0.55",="",="",
"cool springs breakfast",="320",="0.55",="",="",
"food near franklin tn",="320",="1.55",="",="",
"fozzie's menu",="320",="0.39",="",="",
"gray's franklin",="320",="0.00",="",="",
"gray's franklin tn",="320",="0.00",="",="",
"grays franklin tn",="320",="0.00",="",="",
"grays in franklin",="320",="0.00",="",="",
"healthy food in franklin tn",="320",="1.20",="",="",
"irish pub in franklin tn",="320",="0.57",="",="",
"irish pubs in franklin tn",="320",="0.57",="",="",
"ozzy grill",="320",="0.51",="",="",
"ozzy's grill",="320",="0.51",="",="",
"tin roof in franklin tn",="320",="0.00",="",="",
"brunch in cool springs",="260",="0.83",="",="",
"buzzy menu",="260",="0.00",="",="",
"cheap bar and grill near me",="260",="0.64",="",="",
"cool springs brunch",="260",="0.83",="",="",
"dizzy's bar and grill",="260",="0.00",="",="",
"hot chicken franklin tn",="260",="0.23",="",="",
"hot chicken in franklin tn",="260",="0.23",="",="",
"mugzy's grill",="260",="0.00",="",="",
"public house franklin tn",="260",="0.00",="",="",
"truce franklin tn",="260",="0.56",="",="",
"casual restaurants in franklin tn",="210",="0.75",="",="",
"cool springs fast food",="210",="1.74",="",="",
"fast food in cool springs",="210",="1.74",="",="",
"fitzy restaurant",="210",="0.00",="",="",
"fitzy's restaurant",="210",="0.00",="",="",
"five guys franklin tn",="210",="0.51",="",="",
"franklin social franklin tn",="210",="0.00",="",="",
"pizza cool springs",="210",="1.10",="",="",
"pizza in cool springs",="210",="1.10",="",="",
"public house franklin",="210",="0.00",="",="",
"restaurants with outdoor seating franklin tn",="210",="0.00",="",="",
"bar and grills open late near me",="170",="0.61",="",="",
"best bars franklin tn",="170",="0.94",="",="",
"best bars in franklin tn",="170",="0.94",="",="",
"cool springs restaurants lunch",="170",="0.53",="",="",
"family friendly restaurants franklin tn",="170",="0.62",="",="",
"fitzy menu",="170",="0.05",="",="",
"fitzy's menu",="170",="0.05",="",="",
"foxy pub",="170",="0.00",="",="",
"fozzie's bbq",="170",="0.00",="",="",
"hot dog franklin tn",="170",="0.16",="",="",
"hot dogs franklin tn",="170",="0.16",="",="",
"lunch cool springs tn",="170",="0.44",="",="",
"lunch in cool springs tn",="170",="0.44",="",="",
"restaurants in franklin tn near cool springs",="170",="0.80",="",="",
"restaurants near cool springs franklin tn",="170",="0.80",="",="",
"restaurants near cool springs tn",="170",="0.51",="",="",
"wings franklin tn",="170",="1.30",="",="",
"wings in franklin tn",="170",="1.30",="",="",
"american restaurant in franklin tn",="140",="0.00",="",="",
"beer franklin tn",="140",="0.31",="",="",
"blow dry bar franklin tn",="140",="2.68",="",="",
"bonefish grill cool springs",="140",="0.27",="",="",
"brazilian steakhouse franklin tn",="140",="0.11",="",="",
"foxy's austin",="140",="0.00",="",="",
"franklin sports bar",="140",="0.33",="",="",
"franklin sports bars",="140",="0.33",="",="",
"greys in franklin tn",="140",="0.00",="",="",
"new cool springs restaurants",="140",="0.22",="",="",
"new restaurant in cool springs tn",="140",="0.22",="",="",
"new restaurants cool springs tn",="140",="0.22",="",="",
"new restaurants in cool springs",="140",="0.22",="",="",
"ozys bar and grill",="140",="0.00",="",="",
"pizza cool springs tn",="140",="3.36",="",="",
"places to eat near cool springs galleria",="140",="0.35",="",="",
"places to eat near cool springs mall",="140",="0.35",="",="",
"quinns franklin",="140",="0.00",="",="",
"sunday brunch franklin tn",="140",="1.24",="",="",
"tupelo honey cool springs",="140",="0.49",="",="",
"best happy hour franklin tn",="110",="0.94",="",="",
"brunch cool springs tn",="110",="1.87",="",="",
"brunch in cool springs tn",="110",="1.87",="",="",
"buzzy bar",="110",="0.00",="",="",
"chicken franklin tn",="110",="0.43",="",="",
"cool springs brewery franklin tn",="110",="0.00",="",="",
"downtown franklin bars",="110",="0.00",="",="",
"fast food restaurants franklin tn",="110",="0.52",="",="",
"fast food restaurants in franklin tn",="110",="0.52",="",="",
"food near cool springs",="110",="0.43",="",="",
"fozzy's bar &amp; grill franklin reviews",="110",="0.00",="",="",
"fozzy's franklin tn",="110",="0.44",="",="",
"franklin new restaurants",="110",="0.63",="",="",
"franklin tn fast food",="110",="0.21",="",="",
"new franklin restaurants",="110",="0.63",="",="",
"o be joyful franklin tn",="110",="0.00",="",="",
"ozzie bar",="110",="0.73",="",="",
"ozzy's hours",="110",="0.30",="",="",
"pub franklin tn",="110",="0.74",="",="",
"pub in franklin tn",="110",="0.74",="",="",
"pubs in franklin tn",="110",="0.74",="",="",
"rooftop bar franklin tn",="110",="0.76",="",="",
"tony's franklin tn",="110",="0.00",="",="",
"tonys franklin tn",="110",="0.00",="",="",
"bars downtown franklin tn",="90",="0.93",="",="",
"cool springs happy hour",="90",="0.50",="",="",
"cool springs sports bar",="90",="0.00",="",="",
"dolans franklin tn",="90",="0.00",="",="",
"fozzy's bar &amp; grill franklin photos",="90",="0.90",="",="",
"fozzy's bar &amp; grill spring hill reviews",="90",="0.00",="",="",
"franklin restaurants open now",="90",="0.32",="",="",
"franklin tennessee food",="90",="0.38",="",="",
"franklin tn restaurants with live music",="90",="0.94",="",="",
"fried chicken franklin tn",="90",="0.43",="",="",
"fuzzy's place",="90",="0.00",="",="",
"happy hour cool springs",="90",="0.50",="",="",
"happy hour cool springs tn",="90",="0.50",="",="",
"karaoke franklin tn",="90",="0.86",="",="",
"karaoke in franklin tn",="90",="0.86",="",="",
