"Project Name","AUDIT  - https://fozzysskybox.net/",
"Total Groups","6",

Group,Title,URL,DESC,H1,
"1. HOMEPAGE Fozzys – Fozzys","Fozzys – Fozzys","/","... Mercyhealth Sportscore Two. 8800 East Riverside Boulevard Loves Park, IL 611111 815-987-1667. Copyright 2026 - Fozzy's Bar &amp; Grill | Privacy Policy | Terms ... Read more","Fozzys – Fozzys",
Keyword,Volume,CPC,inTITLE,inURL,"54",
"mercyhealth sportscore two",="5400",="1.19",="",="",
"sportscore 2",="5400",="1.19",="",="",
"sportscore two",="5400",="1.19",="",="",
"skybox bar",="1900",="2.17",="",="",
"fozzy's bar &amp; grill loves park il",="1600",="0.76",="",="",
"fozzys bar and grill",="1600",="1.68",="",="",
"mercyhealth sportscore one",="1600",="0.00",="",="",
"foxy's golf",="1300",="1.96",="",="",
"mercy health sportscore",="880",="0.47",="",="",
"mercyhealth sportscore",="880",="0.47",="",="",
"rockford sportscore",="880",="0.47",="",="",
"sportscore rockford",="880",="0.47",="",="",
"mercy health sportscore 2",="320",="0.00",="",="",
"scoreboard rockford",="320",="0.00",="",="",
"scoreboard rockford il",="320",="0.00",="",="",
"fozzy bar",="260",="2.02",="",="",
"fozzys bar",="260",="2.02",="",="",
"isc rockford",="210",="0.00",="",="",
"isc rockford il",="210",="0.00",="",="",
"rockford il sports bars",="210",="0.36",="",="",
"rockford sports bars",="210",="0.36",="",="",
"sports bar rockford il",="210",="0.36",="",="",
"sports bars in rockford il",="210",="0.36",="",="",
"sports bars rockford il",="210",="0.36",="",="",
"fozzys rockford",="170",="3.00",="",="",
"sports complex rockford il",="170",="0.04",="",="",
"gozzys",="140",="3.27",="",="",
"mercy sportscore 2",="110",="0.00",="",="",
"rockford sportscore 2",="110",="0.00",="",="",
"rockford sportscore two",="110",="0.00",="",="",
"sportscore 2 rockford il",="110",="0.00",="",="",
"sportscore 2 rockford illinois",="110",="0.00",="",="",
"sportscore two rockford il",="110",="0.00",="",="",
"fozzys loves park",="90",="1.52",="",="",
"indoor golf rockford",="90",="0.00",="",="",
"skybox harvey illinois",="90",="0.00",="",="",
"fozzies bar",="70",="1.25",="",="",
"indoor soccer rockford il",="70",="0.00",="",="",
"rockford indoor soccer",="70",="0.00",="",="",
"rockford sportscore 1",="70",="0.00",="",="",
"skybox hours",="70",="0.00",="",="",
"sportscore 1 rockford il",="70",="0.00",="",="",
"sportscore one rockford il",="70",="0.00",="",="",
"fozzys skybox",="50",="0.00",="",="",
"golf simulator rockford il",="50",="0.00",="",="",
"indoor sports center rockford il",="50",="0.00",="",="",
"rockford indoor sports center",="50",="0.00",="",="",
"fozzys photos",="40",="0.27",="",="",
"sportscore rockford il",="40",="0.34",="",="",
"the score rockford",="40",="0.00",="",="",
"mercy health indoor sports center",="30",="0.00",="",="",
