"Project Name","AUDIT  - https://fozzysspringhill.net/",
"Total Groups","18",

Group,Title,URL,DESC,H1,
"1. HOMEPAGE Fozzy's Spring Hill, TN","Fozzy's Spring Hill, TN","/","The Night Out That Turns Into a Tradition ... Perfect for a night out with friends who want food that hits, drinks that flow, and service that feels like family. Read more","Fozzy's Spring Hill, TN",
Keyword,Volume,CPC,inTITLE,inURL,"175",
"fozzies",="40500",="1.12",="",="",
"spring hill tn restaurant",="9900",="0.45",="",="",
"restaurant in spring hill",="5400",="0.68",="",="",
"restaurants in spring hill",="5400",="0.68",="",="",
"restaurants spring hill",="5400",="0.83",="",="",
"spring hill restaurants",="5400",="0.68",="",="",
"spring hill restaurants florida",="5400",="0.54",="",="",
"fuzzy's sports grill",="3600",="0.98",="",="",
"hozy's restaurant",="3600",="0.04",="",="",
"food in spring hill",="2900",="0.79",="",="",
"food spring hill",="2900",="0.79",="",="",
"food spring hill tn",="2900",="0.79",="",="",
"food springhill",="2900",="0.79",="",="",
"spring hill food",="2900",="0.79",="",="",
"springhill food",="2900",="0.79",="",="",
"cozzie's tavern &amp; grill",="2400",="0.89",="",="",
"foxy's kitchen and bar",="2400",="0.13",="",="",
"sports &amp; social green hills",="2400",="2.59",="",="",
"foxy restaurant",="1900",="0.16",="",="",
"foxys restaurant",="1900",="0.16",="",="",
"ozzie's restaurant bar",="1900",="0.80",="",="",
"places to eat in spring hill tn",="1900",="0.67",="",="",
"fozzy bar and grill",="1600",="1.68",="",="",
"fozzy's bar &amp; grill spring hill",="1600",="0.51",="",="",
"fozzy's bar and grill",="1600",="1.68",="",="",
"fuzzy's bar",="1300",="3.03",="",="",
"foxy lounge",="1000",="0.00",="",="",
"jonathan's spring hill",="1000",="9.38",="",="",
"foxy's restaurant menu",="880",="0.09",="",="",
"pizza in spring hill tn",="880",="2.14",="",="",
"rose hill bar",="880",="0.20",="",="",
"bar in spring hill",="720",="0.65",="",="",
"bar spring hill",="720",="0.65",="",="",
"bars in spring hill",="720",="0.65",="",="",
"bars spring hill",="720",="0.65",="",="",
"best restaurants in spring hill tn",="720",="0.31",="",="",
"best restaurants spring hill tn",="720",="0.31",="",="",
"fozzy spring hill",="720",="0.50",="",="",
"fozzys spring hill",="720",="0.50",="",="",
"fuzzy bbq",="720",="0.00",="",="",
"fuzzy's pub and grill",="720",="0.00",="",="",
"spring hill bar",="720",="0.65",="",="",
"springhill restaurants",="720",="0.50",="",="",
"breakfast spring hill tn",="590",="0.99",="",="",
"fast food in spring hill tn",="590",="0.49",="",="",
"fast food spring hill tn",="590",="0.49",="",="",
"fossies",="590",="1.39",="",="",
"foxy's near me",="590",="0.67",="",="",
"frankie's spring hill",="480",="1.21",="",="",
"top spring hill",="480",="0.00",="",="",
"buzzy's food and spirits",="390",="0.00",="",="",
"fitzy pub",="390",="4.92",="",="",
"fort hill bar and grill",="390",="0.00",="",="",
"fozzy's menu",="390",="0.46",="",="",
"restaurant in spring hill tn",="390",="0.47",="",="",
"restaurants in spring hill tennessee",="390",="0.47",="",="",
"bbq spring hill tn",="320",="2.85",="",="",
"fozzie menu",="320",="0.39",="",="",
"frankies spring hill tn",="320",="0.00",="",="",
"rookies sports bar spring hill",="320",="3.83",="",="",
"rookies sports bar spring hill fl",="320",="3.83",="",="",
"south first bar and grill",="320",="0.00",="",="",
"cozie's sport bar &amp; grill",="260",="0.00",="",="",
"dizzy's bar and grill",="260",="0.00",="",="",
"frankie's pizza &amp; grill spring hill tn",="260",="0.00",="",="",
"fuzzy bar and grill",="260",="0.47",="",="",
"fuzzy's bar and grill",="260",="0.47",="",="",
"hazy restaurant",="260",="0.00",="",="",
"spring hill tn food",="260",="0.42",="",="",
"bars in spring hill tn",="210",="0.59",="",="",
"bars spring hill tn",="210",="0.59",="",="",
"brunch spring hill tn",="210",="0.87",="",="",
"foxy bar and grill",="210",="0.02",="",="",
"jonathan's grille spring hill tn",="210",="0.00",="",="",
"jonathan's spring hill tn",="210",="6.12",="",="",
"restaurants near spring hill tn",="210",="1.40",="",="",
"spring hill tn bars",="210",="0.59",="",="",
"springhill restaurant in pflugerville",="210",="0.00",="",="",
"cozy's bar and grill",="170",="0.00",="",="",
"fitzy menu",="170",="0.05",="",="",
"fitzy's menu",="170",="0.05",="",="",
"fozzy spring hill tn",="170",="0.24",="",="",
"fun things to do in spring hill tn",="170",="0.42",="",="",
"fun things to do spring hill tn",="170",="0.42",="",="",
"fuzzy's lounge photos",="170",="0.00",="",="",
"places to eat spring hill",="170",="0.09",="",="",
"cozzies bar",="140",="0.00",="",="",
"new restaurant spring hill tn",="140",="0.00",="",="",
"new restaurants spring hill tn",="140",="0.00",="",="",
"best happy hour franklin tn",="110",="0.94",="",="",
"cool springs brewery franklin tn",="110",="0.00",="",="",
"dinner spring hill tn",="110",="0.00",="",="",
"fizzies menu",="110",="0.00",="",="",
"froggy and jeffros",="110",="0.00",="",="",
"jazzies bar and grill",="110",="0.00",="",="",
"jonathan's spring hill tennessee",="110",="0.00",="",="",
"bars in cool springs",="90",="0.95",="",="",
"best pizza in spring hill tn",="90",="0.45",="",="",
"boss ladies spring hill",="90",="0.00",="",="",
"cool springs bars",="90",="0.95",="",="",
"fozzy's bar &amp; grill spring hill photos",="90",="0.00",="",="",
"frankie's pizza spring hill tn",="90",="0.00",="",="",
"fuzzy's seafood menu",="90",="0.00",="",="",
"koozies bar and grill",="90",="0.00",="",="",
"restaurants in the crossings spring hill tn",="90",="0.22",="",="",
"spring hill fast food",="90",="0.86",="",="",
"spring hill places to eat",="90",="0.10",="",="",
"suzy's bar and grill",="90",="0.00",="",="",
"when is fuzzy's happy hour",="90",="0.00",="",="",
"best food in spring hill tn",="70",="0.00",="",="",
"best sports bar franklin tn",="70",="0.48",="",="",
"burgers spring hill tn",="70",="0.10",="",="",
"circa spring hill tn",="70",="0.00",="",="",
"froggy and jeffro's spring hill tn",="70",="0.00",="",="",
"gary's place spring hill",="70",="0.00",="",="",
"live music spring hill fl",="70",="0.00",="",="",
"restaurants spring hill tn open now",="70",="0.00",="",="",
"sports bars in spring hill fl",="70",="0.00",="",="",
"spring hill lunch",="70",="1.72",="",="",
"spring hill restaurants open now",="70",="0.00",="",="",
"bars in cool springs tn",="50",="0.00",="",="",
"best food spring hill tn",="50",="0.00",="",="",
"best happy hour in franklin tn",="50",="2.08",="",="",
"best places to eat in spring hill tn",="50",="0.00",="",="",
"brunch in spring hill tn",="50",="0.14",="",="",
