"Project Name","AUDIT  - https://jaxpublovespark.com/",
"Total Groups","4",

Group,Title,URL,DESC,H1,
"1. HOMEPAGE Jax Pub","Jax Pub","/","With wall-to-wall TVs, daily food and drink specials, and a menu full of made-to-order favorites, Jax is the spot where good times come easy. Stop by, stay a ... Read more","Jax Pub",
Keyword,Volume,CPC,inTITLE,inURL,"59",
"jax bar",="4400",="7.36",="",="",
"jax's bar",="4400",="7.36",="",="",
"jaxbar",="4400",="7.36",="",="",
"jaxs restaurant",="3600",="1.89",="",="",
"jax food and games",="2400",="0.00",="",="",
"jax killington",="2400",="0.00",="",="",
"jax killington vermont",="2400",="0.00",="",="",
"jax bar &amp; grill",="1900",="1.03",="",="",
"jax's bar and grill",="1900",="1.03",="",="",
"loves park illinois restaurants",="1900",="0.34",="",="",
"restaurants loves park",="1900",="0.34",="",="",
"bar in rockford il",="1600",="0.53",="",="",
"bar rockford il",="1600",="0.53",="",="",
"bars in rockford",="1600",="0.53",="",="",
"bars in rockford il",="1600",="0.53",="",="",
"bars in rockford illinois",="1600",="0.53",="",="",
"bars rockford il",="1600",="0.53",="",="",
"fozzy's bar &amp; grill loves park il",="1600",="0.76",="",="",
"jax's place",="1600",="0.04",="",="",
"rockford il bars",="1600",="0.53",="",="",
"rockford illinois bars",="1600",="0.53",="",="",
"rockford bar",="880",="0.43",="",="",
"rockford bars",="880",="0.43",="",="",
"jax's sports bar",="390",="0.00",="",="",
"jax bistro and bar",="320",="0.00",="",="",
"bar and grill rockford il",="210",="0.53",="",="",
"rockford sports bars",="210",="0.36",="",="",
"sports bar rockford il",="210",="0.36",="",="",
"sports bars rockford il",="210",="0.36",="",="",
"backyard bar and grill loves park",="170",="2.31",="",="",
"backyard bar and grill loves park il",="170",="2.31",="",="",
"backyard grill &amp; bar loves park il",="170",="2.31",="",="",
"backyard grill and bar loves park",="170",="2.31",="",="",
"backyard grill and bar loves park il",="170",="2.31",="",="",
"backyard grill loves park illinois",="170",="2.31",="",="",
"food loves park il",="170",="2.27",="",="",
"fozzys rockford",="170",="3.00",="",="",
"restaurants near loves park il",="170",="0.43",="",="",
"jax happy",="140",="0.00",="",="",
"jax bar and grill menu",="110",="0.00",="",="",
"busters loves park",="90",="0.70",="",="",
"busters loves park il",="90",="0.70",="",="",
"da catch loves park",="90",="2.05",="",="",
"food loves park",="90",="0.00",="",="",
"food near loves park il",="90",="0.50",="",="",
"jac's bar",="90",="0.00",="",="",
"bars in loves park",="70",="0.00",="",="",
"bars in machesney park il",="70",="0.00",="",="",
"busters bar and grill loves park",="70",="0.00",="",="",
"jax pub rockford il",="70",="0.00",="",="",
"jaxx bar",="70",="0.00",="",="",
"backyard grill loves park",="50",="0.00",="",="",
"casey's pub loves park",="50",="0.00",="",="",
"jax bar and grill glendale",="50",="0.00",="",="",
"loves park bars",="50",="0.11",="",="",
"jags bar",="40",="0.00",="",="",
"new restaurants in loves park il",="40",="0.13",="",="",
"jack's pub near me",="30",="0.07",="",="",
"jax rockford il",="30",="0.00",="",="",

Group,Title,URL,DESC,H1,
"Main Menu – Jax Pub &amp; Grill Loves Park, IL","Main Menu – Jax Pub &amp; Grill Loves Park, IL","/menu/","Address : 4160 N Perryville Rd, Loves Park, IL 61111, United States · Phone: (815) 877-0600 · Hours Mon–Thu: 11am – 12am. Fri–Sat: 11am – 2am. Sun: 11am – 11pm. Read more","Main Menu – Jax Pub &amp; Grill Loves Park, IL",
Keyword,Volume,CPC,inTITLE,inURL,"9",
"jax pub",="1300",="1.22",="",="",
"jaxx pub",="590",="0.00",="",="",
"jax sports bar",="390",="0.00",="",="",
"jax's restaurant menu",="170",="0.08",="",="",
"jax pub menu",="140",="0.27",="",="",
"jax's bar and grill menu",="110",="0.00",="",="",
"bars in loves park il",="90",="0.19",="",="",
"bars loves park il",="90",="0.19",="",="",
"jax pub photos",="30",="0.00",="",="",

Group,Title,URL,DESC,H1,
"MENU","MENU","/menu","Home · MENU · DAILY SPECIALS · HAPPY HOUR · ONLINE ORDERING · EVENTS · CONTACT · Download PDF. Loading files. 1/2. Next. Copyright © 2025 Jax Pub - All Rights ... Read more","MENU",
Keyword,Volume,CPC,inTITLE,inURL,"4",
"jax's menu",="590",="0.06",="",="",
"jaxx pub and grill glendale heights il",="590",="0.00",="",="",
"jax bistro &amp; bar menu",="40",="0.00",="",="",
"jaxx pub and grill photos",="30",="0.00",="",="",

Group,Title,URL,DESC,H1,
"Contact Us – Jax Pub &amp; Grill Loves Park, IL","Contact Us – Jax Pub &amp; Grill Loves Park, IL","/contact/","More Than Just a PuB. Jax Pub — Loves Park. Address : 4160 N Perryville Rd, Loves Park, IL 61111, United States. Phone: (815) 877-0600. Hours Mon–Thu: ... Read more","Contact Us – Jax Pub &amp; Grill Loves Park, IL",
Keyword,Volume,CPC,inTITLE,inURL,"1",
"sea pub loves park il",="30",="0.58",="",="",
